Date;Time;pH_unit;pH_mV;ORP_mV;ORPAgCl_mV;Turbidity_NTU;Turbidity_mV;Raw Conductivity_us/cm;Specific Conductivity_mS/cm;Salinity_psu;Total Dissolved Solids_g/L;DO_SAT;DO_mg/L;Reference_mV;Temperature_C
11.10.2023;13:01:13;7,44;-11,15;903,00;703,00;0,00;30,90;60,30;0,06;0,03;0,04;108,20;8,66;-520,79;22,65
11.10.2023;13:04:13;7,53;-15,96;916,00;717,00;0,00;30,86;60,20;0,06;0,03;0,04;109,10;8,73;-554,66;22,65
11.10.2023;13:07:13;7,44;-11,17;928,00;728,00;0,00;30,85;60,30;0,06;0,03;0,04;108,00;8,65;-554,43;22,65
11.10.2023;13:10:13;7,44;-10,70;936,00;737,00;0,00;30,89;60,30;0,06;0,04;0,04;108,30;8,67;-544,34;22,65
11.10.2023;13:13:13;7,44;-10,71;943,00;744,00;0,00;30,86;60,30;0,06;0,03;0,04;108,60;8,69;-529,67;22,65
11.10.2023;14:06:14;7,57;-18,55;987,00;787,00;0,00;30,89;59,70;0,06;0,03;0,04;108,40;8,67;-520,50;22,67
11.10.2023;14:09:14;7,51;-14,75;988,00;788,00;0,00;30,83;59,90;0,06;0,03;0,04;108,40;8,68;-514,65;22,67
11.10.2023;14:12:14;7,43;-10,25;988,00;789,00;0,00;30,89;60,00;0,06;0,03;0,04;108,50;8,68;-552,02;22,67
11.10.2023;14:15:14;7,46;-12,05;989,00;790,00;0,00;30,81;60,10;0,06;0,03;0,04;108,40;8,67;-554,37;22,68
11.10.2023;14:18:14;7,53;-16,05;990,00;790,00;0,00;30,86;59,90;0,06;0,03;0,04;108,60;8,69;-553,46;22,68
11.10.2023;14:21:14;7,44;-10,61;990,00;791,00;0,00;30,86;60,00;0,06;0,03;0,04;108,30;8,66;-516,20;22,68
11.10.2023;14:24:14;7,51;-14,95;991,00;792,00;0,00;30,92;60,00;0,06;0,03;0,04;108,30;8,67;-550,02;22,68
11.10.2023;14:27:14;7,43;-10,01;992,00;792,00;0,00;30,85;60,00;0,06;0,03;0,04;108,60;8,69;-515,86;22,68
11.10.2023;14:30:14;7,50;-14,15;992,00;793,00;0,00;30,89;60,10;0,06;0,03;0,04;108,70;8,70;-525,31;22,68
11.10.2023;14:33:14;7,43;-10,58;993,00;793,00;0,00;30,81;59,90;0,06;0,03;0,04;109,20;8,73;-540,56;22,68
11.10.2023;14:36:14;7,45;-11,34;993,00;794,00;0,00;30,86;60,00;0,06;0,03;0,04;108,80;8,70;-526,58;22,68
11.10.2023;14:39:14;7,52;-15,56;994,00;794,00;0,00;30,89;60,20;0,06;0,03;0,04;108,20;8,66;-552,08;22,68
11.10.2023;14:42:14;7,49;-14,01;994,00;794,00;0,00;30,87;60,00;0,06;0,03;0,04;108,30;8,66;-526,69;22,69
11.10.2023;14:45:14;7,47;-12,53;994,00;795,00;0,00;30,87;60,00;0,06;0,03;0,04;108,60;8,68;-544,57;22,69
11.10.2023;14:48:14;7,42;-9,87;995,00;795,00;0,00;30,84;60,00;0,06;0,03;0,04;108,60;8,69;-543,60;22,69
11.10.2023;14:51:14;7,40;-8,61;995,00;795,00;0,00;30,91;59,90;0,06;0,03;0,04;108,70;8,69;-507,83;22,69
11.10.2023;14:54:14;7,42;-10,01;995,00;796,00;0,00;30,92;60,00;0,06;0,03;0,04;108,90;8,71;-507,49;22,69
11.10.2023;14:57:14;7,47;-12,64;996,00;796,00;0,00;30,89;60,00;0,06;0,03;0,04;108,30;8,66;-522,33;22,69
